Species.ID,Common.Name,TaxonLevel,TaxonID,TaxonName,TaxonScientificName,FamilyCommonName,FamilyScientificName,Order
130,Australian Pied Oystercatcher,sp,u130,Australian Pied Oystercatcher,Haematopus longirostris,Oystercatchers,Haematopodidae,Charadriiformes
133,Masked Lapwing,sp,133,Masked Lapwing,Vanellus miles,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
146,Pied Stilt,sp,u146,Pied Stilt,Himantopus leucocephalus,Stilts and Avocets,Recurvirostridae,Charadriiformes
148,Red-necked Avocet,sp,u148,Red-necked Avocet,Recurvirostra novaehollandiae,Stilts and Avocets,Recurvirostridae,Charadriiformes
149,Far Eastern Curlew,sp,u149,Far Eastern Curlew,Numenius madagascariensis,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
150,Whimbrel,sp,150,Whimbrel,Numenius phaeopus,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
153,Bar-tailed Godwit,sp,153,Bar-tailed Godwit,Limosa lapponica,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
163,Sharp-tailed Sandpiper,sp,u163,Sharp-tailed Sandpiper,Calidris acuminata,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
179,Australian White Ibis,sp,179,Australian White Ibis,Threskiornis moluccus,Ibis and Spoonbills,Threskiornithidae,Pelecaniformes
185,Little Egret,sp,185,Little Egret,Egretta garzetta,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes
188,White-faced Heron,sp,188,White-faced Heron,Egretta novaehollandiae,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes
137,Pacific Golden Plover,sp,u137,Pacific Golden Plover,Pluvialis fulva,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
99,Great Pied Cormorant,sp,99,Great Pied Cormorant,Phalacrocorax varius,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes
106,Australian Pelican,sp,u106,Australian Pelican,Pelecanus conspicillatus,Pelican,Pelecanidae,Pelecaniformes
140,Double-banded Plover,sp,140,Double-banded Plover,Charadrius bicinctus,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
143,Red-capped Plover,sp,u143,Red-capped Plover,Charadrius ruficapillus,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
161,Curlew Sandpiper,sp,u161,Curlew Sandpiper,Calidris ferruginea,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
162,Red-necked Stint,sp,u162,Red-necked Stint,Calidris ruficollis,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
187,Great Egret,sp,187,Great Egret,Ardea alba,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes
208,Pacific Black Duck,sp,u208,Pacific Black Duck,Anas superciliosa,"Ducks, Geese and Swans",Anatidae,Anseriformes
210,Chestnut Teal,sp,u210,Chestnut Teal,Anas castanea,"Ducks, Geese and Swans",Anatidae,Anseriformes
211,Grey Teal,sp,u211,Grey Teal,Anas gracilis,"Ducks, Geese and Swans",Anatidae,Anseriformes
217,Musk Duck,sp,217,Musk Duck,Biziura lobata,"Ducks, Geese and Swans",Anatidae,Anseriformes
158,Common Greenshank,sp,u158,Common Greenshank,Tringa nebularia,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
181,Royal Spoonbill,sp,u181,Royal Spoonbill,Platalea regia,Ibis and Spoonbills,Threskiornithidae,Pelecaniformes
147,Banded Stilt,sp,u147,Banded Stilt,Cladorhynchus leucocephalus,Stilts and Avocets,Recurvirostridae,Charadriiformes
166,Sanderling,sp,166,Sanderling,Calidris alba,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
203,Black Swan,sp,u203,Black Swan,Cygnus atratus,"Ducks, Geese and Swans",Anatidae,Anseriformes
97,Little Black Cormorant,sp,u97,Little Black Cormorant,Phalacrocorax sulcirostris,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes
100,Little Pied Cormorant,sp,100,Little Pied Cormorant,Microcarbo melanoleucos,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes
175,Beach Stone-curlew,sp,u175,Beach Stone-curlew,Esacus magnirostris,Stone-curlews,Burhinidae,Charadriiformes
193,Striated Heron,sp,193,Striated Heron,Butorides striata,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes
96,Great Cormorant,sp,96,Great Cormorant,Phalacrocorax carbo,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes
202,Australian Wood Duck,sp,u202,Australian Wood Duck,Chenonetta jubata,"Ducks, Geese and Swans",Anatidae,Anseriformes
101,Australasian Darter,sp,101,Australasian Darter,Anhinga novaehollandiae,Darter,Anhingidae,Pelecaniformes
62,Hoary-headed Grebe,sp,u62,Hoary-headed Grebe,Poliocephalus poliocephalus,Grebes,Podicipedidae,Podicepiformes
192,Nankeen Night-Heron,sp,192,Nankeen Night-Heron,Nycticorax caledonicus,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes
49,Australian Spotted Crake,sp,u49,Australian Spotted Crake,Porzana fluminea,"Crakes, Rails and Swamphens",Rallidae,Gruiformes
132,Red-kneed Dotterel,sp,u132,Red-kneed Dotterel,Erythrogonys cinctus,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
152,Black-tailed Godwit,sp,152,Black-tailed Godwit,Limosa limosa,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
54,Tasmanian Native-hen,sp,u54,Tasmanian Native-hen,Tribonyx mortierii,"Crakes, Rails and Swamphens",Rallidae,Gruiformes
98,Black-faced Cormorant,sp,u98,Black-faced Cormorant,Phalacrocorax fuscescens,Cormorants and Shags,Phalacrocoracidae,Pelecaniformes
129,Ruddy Turnstone,sp,129,Ruddy Turnstone,Arenaria interpres,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
131,Sooty Oystercatcher,sp,131,Sooty Oystercatcher,Haematopus fuliginosus,Oystercatchers,Haematopodidae,Charadriiformes
56,Dusky Moorhen,sp,56,Dusky Moorhen,Gallinula tenebrosa,"Crakes, Rails and Swamphens",Rallidae,Gruiformes
58,Purple Swamphen,sp,58,Purple Swamphen,Porphyrio porphyrio,"Crakes, Rails and Swamphens",Rallidae,Gruiformes
144,Black-fronted Dotterel,sp,u144,Black-fronted Dotterel,Elseyornis melanops,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
61,Australasian Grebe,sp,61,Australasian Grebe,Tachybaptus novaehollandiae,Grebes,Podicipedidae,Podicepiformes
159,Marsh Sandpiper,sp,u159,Marsh Sandpiper,Tringa stagnatilis,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
212,Australasian Shoveler,sp,u212,Australasian Shoveler,Spatula rhynchotis,"Ducks, Geese and Swans",Anatidae,Anseriformes
213,Pink-eared Duck,sp,u213,Pink-eared Duck,Malacorhynchus membranaceus,"Ducks, Geese and Swans",Anatidae,Anseriformes
215,Hardhead,sp,u215,Hardhead,Aythya australis,"Ducks, Geese and Swans",Anatidae,Anseriformes
59,Eurasian Coot,sp,59,Eurasian Coot,Fulica atra,"Crakes, Rails and Swamphens",Rallidae,Gruiformes
155,Grey-tailed Tattler,sp,u155,Grey-tailed Tattler,Tringa brevipes,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
174,Bush Stone-curlew,sp,u174,Bush Stone-curlew,Burhinus grallarius,Stone-curlews,Burhinidae,Charadriiformes
160,Terek Sandpiper,sp,u160,Terek Sandpiper,Xenus cinereus,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
60,Great Crested Grebe,sp,60,Great Crested Grebe,Podiceps cristatus,Grebes,Podicipedidae,Podicepiformes
135,Banded Lapwing,sp,u135,Banded Lapwing,Vanellus tricolor,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
207,Australian Shelduck,sp,u207,Australian Shelduck,Tadorna tadornoides,"Ducks, Geese and Swans",Anatidae,Anseriformes
136,Grey Plover,sp,136,Grey Plover,Pluvialis squatarola,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
139,Lesser Sand Plover,sp,139,Lesser Sand Plover,Charadrius mongolus,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
141,Greater Sand Plover,sp,141,Greater Sand Plover,Charadrius leschenaultii,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
142,Oriental Plover,sp,u142,Oriental Plover,Charadrius veredus,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
157,Common Sandpiper,sp,u157,Common Sandpiper,Actitis hypoleucos,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
