"","...1","Species","SpeciesOld","EnglishName","Genus","Family.x","Order","Family.y","Order1.x","Seabird","Outbreaks","scientificName","TaxonName","CongregateTrue","Habitat_Mod","Diet_Mod","Colony?","Habitat_Groupings","Diet_Groupings","OldCongregate","Habitat","Trophic.Niche","Family"
"1",1,"Rissa tridactyla","Rissa tridactyla","Black-legged Kittiwake","Rissa","Laridae","CHARADRIIFORMES","Laridae","Charadriiformes",1,71,"Rissa_tridactyla","Black-legged Kittiwake","Y","Marine","Aquatic predator","Y","Marine/Coastal","Predator","Y","Marine","Aquatic predator","Laridae"
"2",2,"Phalacrocorax capensis","Phalacrocorax capensis","Cape Cormorant","Phalacrocorax","Phalacrocoracidae","SULIFORMES","Phalacrocoracidae","Suliformes",1,24,"Phalacrocorax_capensis","Cape Cormorant","Y","Marine","Aquatic predator","Y","Marine/Coastal","Predator","Y","Marine","Aquatic predator","Phalacrocoracidae"
"3",3,"Grus grus","Grus grus","Common Crane","Grus","Gruidae","GRUIFORMES","Gruidae","Gruiformes",0,85,"Grus_grus","Common Crane","Y","Wetland","Omnivore","N","Freshwater","Omnivore","Y","Wetland","Omnivore","Gruidae"
"4",4,"Fregata magnificens","Fregata magnificens","Magnificent Frigatebird","Fregata","Fregatidae","SULIFORMES","Fregatidae","Suliformes",1,4,"Fregata_magnificens","Magnificent Frigatebird","Y","Marine","Aquatic predator","Y","Marine/Coastal","Predator","Y","Marine","Aquatic predator","Fregatidae"
"5",5,"Larus ichthyaetus","Larus ichthyaetus","Pallas's Gull","Ichthyaetus","Laridae","CHARADRIIFORMES",NA,NA,1,22,"Larus_ichthyaetus",NA,"Y","Coastal","Omnivore",NA,"Marine/Coastal","Omnivore","Y","Coastal","Omnivore","Laridae"
"6",6,"Larus ridibundus","Chroicocephalus ridibundus","Black-headed Gull","Chroicocephalus","Laridae","CHARADRIIFORMES","Laridae","Charadriiformes",1,1051,"Larus_ridibundus","Black-headed Gull","Y","Wetland","Aquatic predator","Y","Freshwater","Predator","Y","Wetland","Aquatic predator","Laridae"
"7",7,"Hydroprogne caspia","Hydroprogne caspia","Caspian Tern","Hydroprogne","Laridae","CHARADRIIFORMES","Laridae","Charadriiformes",1,6,"Sterna_caspia","Caspian Tern","Y","Wetland","Aquatic predator","Y","Freshwater","Predator","Y","Wetland","Aquatic predator","Laridae"
"8",8,"Cygnus olor","Cygnus olor","Mute Swan","Cygnus","Anatidae","ANSERIFORMES","Anatidae","Anseriformes",0,1081,"Cygnus_olor","Mute Swan","Y","Wetland","Herbivore aquatic","N","Freshwater","Plant-based diet","Y","Wetland","Herbivore aquatic","Anatidae"
"9",9,"Thalasseus sandvicensis","Thalasseus sandvicensis","Sandwich Tern","Thalasseus","Laridae","CHARADRIIFORMES","Laridae","Charadriiformes",1,76,"Sterna_sandvicensis","Sandwich Tern","Y","Marine","Aquatic predator","Y","Marine/Coastal","Predator","Y","Marine","Aquatic predator","Laridae"
"10",10,"Pygoscelis papua","Pygoscelis papua","Gentoo Penguin","Pygoscelis","Spheniscidae","SPHENISCIFORMES",NA,NA,1,2,"Pygoscelis_papua",NA,"Y","Marine","Aquatic predator",NA,"Marine/Coastal","Predator","Y","Marine","Aquatic predator","Spheniscidae"
