Taxon ID,Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,EPBC Act Migratory,Conservation Advice,Class,Order,Family,Genus,Taxon Group,ACT NC Act,Listed Name,NSW TSC Act and FM Act,Listed Name,NT TPWC Act,Listed Name,Qld NC Act,Listed Name,SA NPW Act,Listed Name,Tas. TSP Act,Listed Name,Vic. FFG Act (Advisory Lists),Listed Name,WA WC Act,Listed Name,IUCN Red List,IUCN Red List Listed Names,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos (Keeling) Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area
66785,Abebaioscia troglodytes,Pannikin Plains Cave Isopod,,,,,,Malacostraca,Isopoda,Philosciidae,Abebaioscia,"crabs, lobsters, shrimps, woodlice",,,,,,,,,,,,,,,Vulnerable,Abebaioscia troglodytes,,,,,,,,,,Present,,,,,,,,,
5547,Abelmoschus ficulneus, ,,,,,,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Abelmoschus ficulneus,,,,,,,,,,,,,,,,,
12940,Abelmoschus moschatus, ,,,,,,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Abelmoschus moschatus,,,,,,,,,,,,,,,,,
92009,Abrodictyum caudatum,Jungle Bristle-fern,,,,,,Polypodiatae,Hymenophyllales,Hymenophyllaceae,Abrodictyum,"bracken, ferns",,,,,,,,,,,,,Endangered,Abrodictyum caudatum,,,,,,,,,,,,,,,,,,,,,
93331,Abrodictyum obscurum, ,,,,,,Polypodiatae,Hymenophyllales,Hymenophyllaceae,Abrodictyum,"bracken, ferns",,,,,Endangered,Abrodictyum obscurum,,,,,,,,,,,,,,,Present,,,,,,,,,,,,,,
18340,Abrotanella nivigena, ,,,,,,Magnoliopsida,Asterales,Asteraceae,Abrotanella,dicots (two seed leaves),,,,,,,,,,,,,Critically Endangered,Abrotanella nivigena,,,,,,,,,,,,,,,,,,,,,
81927,Abudefduf bengalensis,Bengal sergeant,,,,,,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,ray-finned fishes,,,,,,,,,,,,,,,,,Least Concern,Abudefduf bengalensis,,,,,,,,,,,,,,,,,
81928,Abudefduf sexfasciatus,Scissor-tail sergeant,,,,,,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,ray-finned fishes,,,,,,,,,,,,,,,,,Least Concern,Abudefduf sexfasciatus,,,,,,,,,,,,,,,,,
81929,Abudefduf sordidus,Blackspot sergeant,,,,,,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,ray-finned fishes,,,,,,,,,,,,,,,,,Least Concern,Abudefduf sordidus,,,,,,,,,,,,,,,,,
81930,Abudefduf vaigiensis,Indo-Pacific sergeant,,,,,,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,ray-finned fishes,,,,,,,,,,,,,,,,,Least Concern,Abudefduf vaigiensis,,,,,,,,,,,,,,,,,
