"","Species","Habitat_Mod","Diet_Mod","CongregateTrue","Colony?","Keep?","Population.x","TaxonSort","is_ultrataxon","TaxonLevel","SpID","TaxonID","TaxonName","TaxonScientificName","FamilyCommonName","FamilyScientificName","Order","Population.y","Australian IUCN RedListStatus_2020","Supplementary","ABD_Avibase ID","Family","Diet_Groupings","Habitat_Groupings"
"1","Accipiter cirrocephalus","Forest","Vertivore","N","N","Y","Australian",797,NA,"sp",222,"222","Collared Sparrowhawk","Accipiter cirrocephalus","Eagles, Kites and Goshawks","Accipitridae","Accipitriformes","Australian","-",NA,"avibase-21957C95","Accipitridae","Predator","Terrestrial"
"2","Accipiter fasciatus","Forest","Vertivore","N","N","Y","Australian",790,NA,"sp",221,"221","Brown Goshawk","Accipiter fasciatus","Eagles, Kites and Goshawks","Accipitridae","Accipitriformes","Australian","-",NA,"avibase-8257AE54","Accipitridae","Predator","Terrestrial"
"3","Accipiter novaehollandiae","Forest","Vertivore","N","N","Y","Australian",789,1,"sp",220,"u220","Grey Goshawk","Accipiter novaehollandiae","Eagles, Kites and Goshawks","Accipitridae","Accipitriformes","Australian","Least Concern",NA,"avibase-CFB9E213","Accipitridae","Predator","Terrestrial"
"4","Aquila audax","Woodland","Vertivore","N","N","Y","Australian",781,NA,"sp",224,"224","Wedge-tailed Eagle","Aquila audax","Eagles, Kites and Goshawks","Accipitridae","Accipitriformes","Australian","-",NA,"avibase-5E574D70","Accipitridae","Predator","Terrestrial"
"5","Aviceda subcristata","Forest","Vertivore","N","N","Y","Australian",778,NA,"sp",234,"234","Pacific Baza","Aviceda subcristata","Eagles, Kites and Goshawks","Accipitridae","Accipitriformes","Australian","-",NA,"avibase-010AC994","Accipitridae","Predator","Terrestrial"
"6","Circus approximans","Wetland","Vertivore","N","N","Y","Australian",785,NA,"sp",219,"219","Swamp Harrier","Circus approximans","Eagles, Kites and Goshawks","Accipitridae","Accipitriformes","Australian","-",NA,"avibase-1ACF5A6E","Accipitridae","Predator","Freshwater"
"7","Circus assimilis","Grassland","Vertivore","N","N","Y","Endemic",787,1,"sp",218,"u218","Spotted Harrier","Circus assimilis","Eagles, Kites and Goshawks","Accipitridae","Accipitriformes","Endemic","Least Concern",NA,"avibase-811762D2","Accipitridae","Predator","Terrestrial"
"8","Elanus axillaris","Grassland","Vertivore","N","N","Y","Endemic",771,1,"sp",232,"u232","Black-shouldered Kite","Elanus axillaris","Eagles, Kites and Goshawks","Accipitridae","Accipitriformes","Endemic","Least Concern",NA,"avibase-67E74DD0","Accipitridae","Predator","Terrestrial"
"9","Elanus scriptus","Grassland","Vertivore","N","N","Y","Endemic",772,1,"sp",233,"u233","Letter-winged Kite","Elanus scriptus","Eagles, Kites and Goshawks","Accipitridae","Accipitriformes","Endemic","Near Threatened",NA,"avibase-468F7841","Accipitridae","Predator","Terrestrial"
"10","Erythrotriorchis radiatus","Forest","Vertivore","N","N","Y","Endemic",799,1,"sp",223,"u223","Red Goshawk","Erythrotriorchis radiatus","Eagles, Kites and Goshawks","Accipitridae","Accipitriformes","Endemic","Endangered",NA,"avibase-235CF06A","Accipitridae","Predator","Terrestrial"
