"Family","Outbreaks","HPAISusceptibilityIndex"
"Fringillidae",1.25,0.0317744030835774
"Motacillidae",1.99788660678755,0.109192464650785
"Passeridae",3.5,0.218765150848052
"Estrildidae",1,0
"Nectariniidae",1.87638338516724,0.0980310179849521
"Dicaeidae",1.87638338516724,0.0980310179849521
"Turdidae",2,0.109382575424026
"Sturnidae",3,0.186990747764474
"Zosteropidae",1,0
"Hirundinidae",1,0
"Locustellidae",1.56839816773292,0.0674791407085914
"Cisticolidae",1.56839816773292,0.0674791407085914
"Acrocephalidae",1.56839816773292,0.0674791407085914
"Alaudidae",1.56839816773292,0.0674791407085914
"Petroicidae",9.65716243967893,0.451349189350573
"Corvidae",29.8,0.737652030606553
"Struthideidae",9.65716243967893,0.451349189350573
"Paradisaeidae",9.65716243967893,0.451349189350573
"Monarchidae",9.65716243967893,0.451349189350573
"Dicruridae",9.65716243967893,0.451349189350573
"Rhipiduridae",9.65716243967893,0.451349189350573
"Artamidae",9.65716243967893,0.451349189350573
"Oriolidae",9.65716243967893,0.451349189350573
"Pachycephalidae",9.65716243967893,0.451349189350573
"Psophodidae",9.65716243967893,0.451349189350573
"Neosittidae",9.65716243967893,0.451349189350573
"Campephagidae",9.65716243967893,0.451349189350573
"Cinclosomatidae",9.65716243967893,0.451349189350573
"Orthonychidae",6.28883190960619,0.34886632508356
"Pomatostomidae",6.28883190960619,0.34886632508356
"Acanthizidae",6.28883190960619,0.34886632508356
"Pardalotidae",6.28883190960619,0.34886632508356
"Meliphagidae",6.28883190960619,0.34886632508356
"Maluridae",6.28883190960619,0.34886632508356
"Ptilonorhynchidae",6.28883190960619,0.34886632508356
"Climacteridae",6.28883190960619,0.34886632508356
"Menuridae",6.28883190960619,0.34886632508356
"Pittidae",6.28883190960619,0.34886632508356
"Psittacidae",1.2,0.0257118867262505
"Cacatuidae",4.35016586359196,0.265449002249998
"Falconidae",25,0.691947989952563
"Coraciidae",11.9800546526263,0.504543026748917
"Alcedinidae",11.9800546526263,0.504543026748917
"Strigidae",9.28571428571429,0.44177874579012
"Tytonidae",18,0.607332394423625
"Accipitridae",24.3333333333333,0.684940566764074
"Pandionidae",2,0.109382575424026
"Pelecanidae",40.4,0.817441060616225
"Ardeidae",14.6666666666667,0.555292651946439
"Threskiornithidae",4.16666666666667,0.256034053933793
"Phalacrocoracidae",11,0.483364070952974
"Anhingidae",53.8833893110755,0.893497454812556
"Sulidae",78.5,0.993459956593751
"Fregatidae",4,0.247188322953855
"Ciconiidae",18,0.607332394423625
"Procellariidae",4,0.247188322953855
"Oceanitidae",3.43933614210355,0.21510367581347
"Diomedeidae",3,0.186990747764474
"Spheniscidae",5,0.2963733231885
"Phaethontidae",13.335597582752,0.531339845636659
"Apodidae",3.63742707820215,0.226880473501002
"Aegothelidae",3.63742707820215,0.226880473501002
"Podargidae",3.63742707820215,0.226880473501002
"Caprimulgidae",1,0
"Columbidae",6.85714285714286,0.36912063204708
"Cuculidae",3.63742707820215,0.226880473501002
"Otididae",3.63742707820215,0.226880473501002
"Laridae",51.377358490566,0.88088936533711
"Stercorariidae",10.6,0.47421842818618
"Glareolidae",21.294107352746,0.650464244512466
"Turnicidae",21.294107352746,0.650464244512466
"Scolopacidae",3.4,0.212702634490725
"Jacanidae",21.294107352746,0.650464244512466
"Rostratulidae",21.294107352746,0.650464244512466
"Pedionomidae",21.294107352746,0.650464244512466
"Charadriidae",1.28571428571429,0.036022847177594
"Haematopodidae",3.25,0.203345489851481
"Recurvirostridae",2.30890027687477,0.13582106857543
"Burhinidae",12.2021799029785,0.50912050504549
"Gruidae",29.2857142857143,0.733109480582845
"Rallidae",4.2,0.257768919234234
"Podicipedidae",5.125,0.30193580117376
"Phasianidae",7.375,0.386339562671796
"Numididae",1,0
"Megapodidae",26.7812239577767,0.709824032114767
"Anatidae",48.3,0.864554665802135
"Anseranatidae",26.7812239577767,0.709824032114767
"Casuariidae",15.9052854689803,0.57581977113387
